,date,text
112,2019-06-19 02:51:09,RT @defudger: #JonSnow's apology for Season 8 is finally out. #GameOfThronesFinale #GameOfTrones #got #deepfake https://t.co/uaKVLcjOKZ
113,2019-06-19 02:44:27,"RT @tinashe_tyson: Now Varys ashes can tell my ashes, see l told you 😂 #GameOfThronesFinale"
114,2019-06-19 01:55:27,"RT @boredpanda: YouTuber Rewrites GoT Ending And People Say That This Is How It Should’ve Ended #GameOfThronesFinale
https://t.co/pgKarRK0Xq"
115,2019-06-19 01:35:10,"Check Out our Video on the Secret Game of Thrones Characters We Love
#GOT #GameOfThronesFinale #tormund #GameofThrones 
https://t.co/gRlZp6k0uh"
116,2019-06-19 01:30:44,"K I'm about to watch the #GoTFinale for the first time, bc my brain is somewhat messed up and some days I can't parse new information quickly enough to keep up with shows and things. Anyway go team! #HBO #GameofThrones #GameOfThronesFinale frickin dragons and shit"
117,2019-06-19 01:22:43,"RT @Geirahod: Inspired by #GameOfThronesFinale and mr @Djawadi_Ramin 's amazing soundtrack. In the words of Maester Aemon ""...A Targaryen a…"
118,2019-06-19 01:22:31,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ…"
119,2019-06-19 00:06:18,"This is in NO WAY anything against the actors and crew who worked their butts off for bad writing, it't against two ""writer"" who could not finish the series when they had all of that talent #gameofthones #gameofthrones #gameofthronesfinale   daenerys targaryen #gameofthonesfinale https://t.co/gBJ4cks2si"
120,2019-06-19 00:03:13,"RT @DKobim: Whomever wrote this episode of G.O.T just finished watching Nollywood!! 😒😒
#GameOfThronesFinale"
121,2019-06-18 23:50:03,"RT @CasualNerdom: Special Episode on #GameOfThronesFinale #gameofthrones #podcastshow 

What did you guys what to see?

https://t.co/ybC5gd…"
122,2019-06-18 23:03:17,"RT @boredpanda: YouTuber Rewrites GoT Ending And People Say That This Is How It Should’ve Ended #GameOfThronesFinale
https://t.co/pgKarRK0Xq"
123,2019-06-18 22:05:36,RT @king_yemix: When you do nothing in the group project but still get the highest scores #GameOfThrones #GameOfThronesFinale https://t.co/…
124,2019-06-18 21:57:45,"Thanks @PlayApex, now we know where Drogon went in the #GameofThronesFinale! https://t.co/OfmyotAGV6"
125,2019-06-18 21:48:49,RT @McmurtryR: Horrible last episode of Game of Thrones and horrible last season #GameOfThronesFinale #GameOfThrones
126,2019-06-18 21:45:36,RT @GregInLI: #GameOfThronesFinale absolutely the worst episode.. these writers need to be fed to the dragon.. If the north is no longer pa…
127,2019-06-18 21:41:45,"RT @boredpanda: YouTuber Rewrites GoT Ending And People Say That This Is How It Should’ve Ended #GameOfThronesFinale
https://t.co/pgKarRK0Xq"
128,2019-06-18 21:39:42,"YouTuber Rewrites GoT Ending And People Say That This Is How It Should’ve Ended #GameOfThronesFinale
https://t.co/pgKarRK0Xq"
129,2019-06-18 21:38:21,RT @defudger: #JonSnow's apology for Season 8 is finally out. #GameOfThronesFinale #GameOfTrones #got #deepfake https://t.co/uaKVLcjOKZ
130,2019-06-18 21:33:34,RT @king_yemix: When you do nothing in the group project but still get the highest scores #GameOfThrones #GameOfThronesFinale https://t.co/…
131,2019-06-18 21:14:04,RT @redbluedotstate: I choose to be satisfied.  #GameOfThronesFinale #BetterEndingThanLost #BetterEndingThanSopranos #BetterEndingThanSeinf…
132,2019-06-18 21:02:11,RT @DorkuhsaurusRex: Quite telling that less than 24 hours after #GameOfThronesFinale #GoT can’t be found on the trending list 🧐🤷🏼‍♀️
133,2019-06-18 20:24:02,"RT @waltermurimi92: Drogon destroying the iron throne because new king Bran got his own seat
#GameOfThronesFinale
#TheFinalEpisode
#GameOfT…"
134,2019-06-18 20:03:19,"RT @NairobiComedy: This was before we watched it though 😣

Show tickets: https://t.co/mYkLVYmBXX

#gameofjokes #lol #GameOfThronesFinale #g…"
135,2019-06-18 19:46:25,"Wht kind of film ends with the main character hanging in btw life and death🤦🤦.This Film has alot to unwrap!!!Like the greater evil than The Black eyed king. I say GOT is by far better than ITBL..😪😪
#IntoTheBadlands #BringIntoTheBadlandsBack #GameOfTrones #GameOfThronesFinale https://t.co/5K9lT9SS9m"
136,2019-06-18 18:43:04,"RT @ThomasinaPeeks: I know he was named after Khal Drogo, but it still feels a bit like naming your child ‘Humon’ #Drogon #GameOfThronesFin…"
137,2019-06-18 18:28:46,RT @tmsthepodcast: Episode 25 is dark and full of spoilers rehashing the finale disappointments of #GamesOfThrones! Listen if you dare #Gam…
138,2019-06-18 18:26:21,"RT @acursedlove: EVERYBODY LET’S SAY THANK YOU TO THE BEST CAST EVER. 

#GamefThrones #GameOfThronesFinale 
#TheFinalEpisode https://t.co/w…"
139,2019-06-18 17:48:58,"#GameOfThronesFinale 
Bran to Jon Snow: https://t.co/l6t5N637kv"
140,2019-06-18 17:39:54,"RT @gisty13: #GameofThrones ❤️ Congrats to @HBO and ALL the people who worked on this show, creating such an inspiring and truly special ex…"
141,2019-06-18 17:32:07,"RT @NairobiComedy: This was before we watched it though 😣

Show tickets: https://t.co/mYkLVYmBXX

#gameofjokes #lol #GameOfThronesFinale #g…"
142,2019-06-18 17:30:35,RT @chiqkistriqkis: What a bullshit ending. My watch has ended  #GameOfThronesFinale https://t.co/k0E1K2JTUy
143,2019-06-18 17:27:29,"Hooray! Ferdig med #GameOfThronesFinale, bra slutt.  Now what to see? Forslag?"
144,2019-06-18 17:07:49,"@IAMLenaHeadey feels Cersei deserved a ""better death"" in the #GameOfThronesFinale. Do you guys agree?
#HBO https://t.co/dWybObkgJL"
145,2019-06-18 17:02:08,"RT @MadyVirgona: Gutted that we will never hear the punch line to Tyrion's ""I once brought a jackass and a honeycomb into a brothel"" story.…"
146,2019-06-18 16:49:30,RT @defudger: #JonSnow's apology for Season 8 is finally out. #GameOfThronesFinale #GameOfTrones #got #deepfake https://t.co/uaKVLcjOKZ
147,2019-06-18 16:36:35,"if #KhalDrogo character lives until #season8..
Pretty sure that #DaenerysTargaryen would become the queen of the seven kingdoms.
#GameOfThronesFinale https://t.co/74qc7054yF"
148,2019-06-18 16:25:25,"How about that #GameOfThronesFinale ? I tell ya, it sure would be tough to live back then! Absolutely no AC or electricity? Wild. Luckily Kong’s Electric is here to make sure you never have too!"
149,2019-06-18 16:19:12,"RT @_iamDaryl: #GameOfThronesFinale
#TheFinalEpisode

This is what they should've done on choosing who's to rule on the throne https://t.co…"
150,2019-06-18 15:58:43,"RT @midiaresearch: No matter what happens with the new @WarnerMedia service, @HBO as-is will lose all of the value it brings to the market.…"
151,2019-06-18 15:46:36,RT @WeDoNotKneel: So this is where Game of Thrones GoT it from 😂 #GameofThrones #GameOfThronesFinale #TheLongNight #AryaStark #TheNightKing…
152,2019-06-18 15:42:52,"@HBO please create a final episode that lives up to the expectations of 8 seasons 73 episodes; an entirely different S8 E6, one far more fitting to the main character, one that we all waited for, it was sensationally deflating @GameOfThrones #gameofthrones #gameofthronesfinale"
