,date,text,sentiment
234,2019-06-16 01:27:16,Have APPLE PAY CASH SET UP ❓ Flip $30 for $150 ❗️ No cards. No banks. ONLY 1 time fee of $30. Dm me .❗️ #targetdown #BTS5THMUSTER #FathersDay #INDvPAK #Pride #BluesParade #2019BTSFESTA #CWC19 #cashdrain #AlaskaHappyHour #CLIPPERDARRELLCARES #DallasCowboys #GameOfThronesFinale https://t.co/PMcDfjUuna,-0.2
235,2019-06-16 01:24:03,"RT @JoyScott13: Don’t mind me, I’m just crying hearing the #GamefThrones theme for the last time in a new episode 😭😭😭 #GameOfThronesFinale",0.09999999999999999
236,2019-06-16 00:56:12,"RT @1LifeOfDeen: Samwell Tarly: Democracy 

Everyone else:

#GameOfThronesFinale https://t.co/FFpZCXKDgX",-0.4
241,2019-06-15 23:34:02,"RT @Queenziah: #Thefinaleepisode :
Daenerys dyes her hair and marries Bran #GameOfThronesFinale https://t.co/EUopoa3Mfa",0.04999999999999999
243,2019-06-15 23:28:10,RT @robert_sith305: Game of thrones night king and Theon recreation!!!!!! #GameOfThronesFinale #GameofThronesSeason8 #nightking #GameOfThor…,0.16
245,2019-06-15 23:16:28,RT @renegadecut: The #GameofThronesFinale and reaction to it got me thinking about American interventionism and how we see civilian casualt…,0.045000000000000026
246,2019-06-15 23:09:15,Game of thrones night king and Theon recreation!!!!!! #GameOfThronesFinale #GameofThronesSeason8 #nightking #GameOfThornes #theon #arya #bran @GameOfThrones @HBO @SmokeScreenVids @Maisie_Williams @SophieT https://t.co/9PeoRQD8bP,-0.06590909090909092
249,2019-06-15 22:17:17,"RT @realFFK: ""Bend the knee""-Daenarys Targarayan

""Winter is coming""-Jon Snow. 

""For the night is dark and is full of terrors""-Mellisandra…",0.5
253,2019-06-15 21:53:02,"RT @sritawinterfell: THE MOTHER OF DRAGONS

#GameOfThronesFinale #GameOfThrones https://t.co/y0PHWrsUxQ",0.3333333333333333
254,2019-06-15 21:52:02,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago😂😂😂
#GameofThrones #GameOfThronesFinale…",-0.1
257,2019-06-15 21:25:09,"Meet my Cat Venom, sitting there like he doesn't give a Shit on how ridiculous he looks like just as D&amp;D don't give a Shit about how they ruined the Show in the End. 😂 #GameofThrones #GameOfThronesFinale #ASOIAF https://t.co/sFw8op7Bmn",1.0
258,2019-06-15 20:55:05,"RT @TargaryenHaught: D&amp;D are just 2 talentless little Dickheads who were pissed like 2 children beeing robbed of their Candy, just bcs thei…",0.35714285714285715
1,2019-06-18 16:19:12,"RT @_iamDaryl: #GameOfThronesFinale
#TheFinalEpisode

This is what they should've done on choosing who's to rule on the throne https://t.co…",-0.4
2,2019-06-18 15:58:43,"RT @midiaresearch: No matter what happens with the new @WarnerMedia service, @HBO as-is will lose all of the value it brings to the market.…",0.3
4,2019-06-18 15:42:52,"@HBO please create a final episode that lives up to the expectations of 8 seasons 73 episodes; an entirely different S8 E6, one far more fitting to the main character, one that we all waited for, it was sensationally deflating @GameOfThrones #gameofthrones #gameofthronesfinale",0.21666666666666667
7,2019-06-18 15:14:35,"RT @thewhiteshewolf: All hail King Jon Snow, First of His Name, Lord of the North Beyond the Wall, Protector of the Free Folk, The White Wo…",0.25
9,2019-06-18 14:19:39,RT @c0n0r_16: Me preparing myself for the #GameOfThronesFinale https://t.co/98ypjgdDKq,0.5
10,2019-06-18 14:05:54,RT @downhill39: Ready! #GameOfThronesFinale https://t.co/yIj13Un2UQ,-0.4
12,2019-06-18 13:56:25,RT @quadmcomics: NOW AVAILABLE for your listening enjoyment - THE QUAD M SHOW Ep. 156! Download or stream from your favorite podcast catchi…,0.1875
17,2019-06-18 12:50:19,RT @nightbloodblake: sansa stark. sansa stark finally did it. FUCK SHE DESERVES THIS. I’m beyond proud of sansa 👑 #GameOfThones #GameofThro…,-0.2
